method,surfaceIfs,nestedIfs,surfaceSwitches,nestedSwitches,surfaceFors,nestedFors,surfaceForEachs,nestedForEachs,surfaceWhiles,nestedWhiles,surfaceDos,nestedDos,iterativeStmts,conditionalStmts
"com.taobao.arthas.core.view.ObjectView.appendStringBuilder(StringBuilder,String)",1,0,0,1,0,0,0,0,0,0,0,0,0,2
"com.taobao.arthas.core.view.ObjectView.renderObject(Object,int,int,StringBuilder)",1,17,0,1,0,24,0,13,0,0,0,0,37,19
com.taobao.arthas.core.util.TokenUtils.findSecondTokenText(List<CliToken>),1,2,0,0,0,0,1,0,0,0,0,0,1,3
com.lmax.disruptor.dsl.ConsumerRepository.getLastSequenceInChain(boolean),0,1,0,0,0,0,1,0,0,0,0,0,1,1
"com.lmax.disruptor.dsl.Disruptor.shutdown(long,TimeUnit)",0,1,0,0,0,0,0,0,1,0,0,0,1,1
com.lmax.disruptor.MultiProducerSequencer.setAvailable(long),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.lmax.disruptor.dsl.Disruptor.hasBacklog(),0,1,0,0,0,0,1,0,0,0,0,0,1,1
com.lmax.disruptor.RingBuffer.getCursor(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.lmax.disruptor.dsl.EventProcessorInfo.getSequences(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.lmax.disruptor.FixedSequenceGroup.get(),0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.lmax.disruptor.dsl.ConsumerRepository.add(EventProcessor,EventHandler<?superT>,SequenceBarrier)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.lmax.disruptor.BlockingWaitStrategy.waitFor(long,Sequence,Sequence,SequenceBarrier)",1,0,0,0,0,0,0,0,1,1,0,0,2,1
"com.lmax.disruptor.Sequence.compareAndSet(long,long)",0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.lmax.disruptor.RingBuffer.get(long),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.lmax.disruptor.MultiProducerSequencer.next(int),1,2,0,0,0,0,0,0,0,0,1,0,1,3
com.alibaba.druid.wall.spi.OracleWallProvider.createParser(String),0,0,0,0,0,0,0,0,0,0,0,0,0,0
com.alibaba.druid.wall.spi.MySqlWallVisitor.preVisit(SQLObject),0,0,0,0,0,0,0,0,0,0,0,0,0,0
"com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ConnectionProxy,String)",2,0,0,0,0,0,0,0,0,0,0,0,0,2
