CompositeKey,Project,MethodIndex,MethodName,MethodLength,EditDensity,AveUseDefDist,AveUseDefDist/MethodLength,MedDefUseDist,MedUseDefDist/MethodLength,CountLine,CompiledLine,PassedLine,CountStat,CompiledStat,PassedStat,PropLineCompiled,PropLinePassed,PropStatCompiled,PropStatPassed,cyclomatic,ncss,npath,cyc/length,ncss/length,npath/length,InstCoverage-missed,InstCoverage-covered,InstCoverage
druid100,druid,100,com.alibaba.druid.pool.DruidPooledPreparedStatement.executeQuery(),-1,24,-1,1,-1,1,24,5,5,24,11,11,0.208333333,0.208333333,0.458333333,0.458333333,3,17,4,3,17,4,4,43,0.914893617
druid159,druid,159,com.alibaba.druid.sql.SQLUtils.translateOracleToMySql(String),-1,19,-1,1,-1,1,19,1,1,19,3,2,0.052631579,0.052631579,0.157894737,0.105263158,2,8,2,2,8,2,0,33,1
druid216,druid,216,"com.alibaba.druid.sql.SQLUtils.format(String,String,List<Object>,FormatOption)",-1,17,-1,1,-1,1,17,3,3,17,6,6,0.176470588,0.176470588,0.352941176,0.352941176,3,10,6,3,10,6,21,14,0.4
druid287,druid,287,"com.alibaba.druid.sql.parser.SQLStatementParser.parseValueClause(List<SQLInsertStatement.ValuesClause>,int,SQLObject)",-1,16,-1,1,-1,1,16,3,3,16,8,4,0.1875,0.1875,0.5,0.25,32,97,19,32,97,19,75,295,0.797297297
druid305,druid,305,com.alibaba.druid.support.http.WebStatFilter.init(FilterConfig),-1,26,-1,1,-1,1,26,6,4,26,11,9,0.230769231,0.153846154,0.423076923,0.346153846,21,50,16,21,50,16,78,99,0.559322034
druid378,druid,378,"com.alibaba.druid.support.http.WebStatFilter.doFilter(ServletRequest,ServletResponse,FilterChain)",-1,12,-1,1,-1,1,12,1,1,12,4,2,0.083333333,0.083333333,0.333333333,0.166666667,20,71,35,20,71,35,59,146,0.712195122
druid457,druid,457,com.alibaba.druid.pool.DruidPooledPreparedStatement.getPreparedStatementHolder(),-1,15,-1,1,-1,1,15,1,1,15,7,7,0.066666667,0.066666667,0.466666667,0.466666667,1,2,1,1,2,1,0,3,1
druid570,druid,570,com.alibaba.druid.pool.DruidPooledPreparedStatement.close(),-1,21,-1,1,-1,1,21,6,6,21,12,12,0.285714286,0.285714286,0.571428571,0.571428571,10,23,72,10,23,72,6,90,0.9375
druid620,druid,620,com.alibaba.druid.sql.SQLUtils.toMySqlString(SQLObject),-1,21,-1,1,-1,1,21,3,3,21,9,8,0.142857143,0.142857143,0.428571429,0.380952381,1,2,1,1,2,1,0,5,1
druid729,druid,729,com.alibaba.druid.util.JdbcUtils.getDriverClassName(String),-1,19,-1,1,-1,1,19,3,2,19,7,7,0.157894737,0.105263158,0.368421053,0.368421053,49,138,98,49,138,98,64,233,0.784511785
druid735,druid,735,"com.alibaba.druid.sql.visitor.SQLEvalVisitorUtils.eval(String,SQLObject,Object...)",-1,20,-1,1,-1,1,20,4,3,20,8,7,0.2,0.15,0.4,0.35,2,5,2,2,5,2,0,13,1
druid736,druid,736,"com.alibaba.druid.sql.SQLUtils.toSQLString(List<SQLStatement>,String,List<Object>)",-1,16,-1,1,-1,1,16,1,1,16,5,5,0.0625,0.0625,0.3125,0.3125,1,2,1,1,2,1,0,7,1
druid743,druid,743,"com.alibaba.druid.sql.SQLUtils.addCondition(String,String,String)",-1,25,-1,1,-1,1,25,2,2,25,7,7,0.08,0.08,0.28,0.28,1,3,1,1,3,1,0,9,1
druid751,druid,751,com.alibaba.druid.pool.PreparedStatementPool.put(PreparedStatementHolder),-1,26,-1,1,-1,1,26,6,6,26,11,11,0.230769231,0.230769231,0.423076923,0.423076923,10,30,144,10,30,144,1,112,0.991150442
druid887,druid,887,com.alibaba.druid.util.JdbcUtils.isMySqlDriver(String),-1,26,-1,1,-1,1,26,3,3,26,11,11,0.115384615,0.115384615,0.423076923,0.423076923,3,2,2,3,2,2,0,16,1
druid897,druid,897,"com.alibaba.druid.sql.repository.SchemaRepository.resolve(SQLStatement,SchemaResolveVisitor.Option...)",-1,16,-1,1,-1,1,16,4,3,16,9,7,0.25,0.1875,0.5625,0.4375,2,5,2,2,5,2,1,10,0.909090909
druid934,druid,934,com.alibaba.druid.util.JdbcUtils.close(Closeable),-1,18,-1,1,-1,1,18,2,2,18,7,7,0.111111111,0.111111111,0.388888889,0.388888889,3,6,6,3,6,6,0,12,1
druid947,druid,947,com.alibaba.druid.pool.xa.JtdsXAConnection.close(),-1,13,-1,1,-1,1,13,3,3,13,8,8,0.230769231,0.230769231,0.615384615,0.615384615,2,4,2,2,4,2,1,10,0.909090909
druid951,druid,951,com.alibaba.druid.support.http.ResourceServlet.initAuthEnv(),-1,18,-1,1,-1,1,18,0,0,18,4,3,0,0,0.222222222,0.166666667,16,34,584,16,34,584,27,136,0.834355828
druid952,druid,952,com.alibaba.druid.sql.dialect.mysql.visitor.MySqlOutputVisitor.printValuesList(List<SQLInsertStatement.ValuesClause>),-1,20,-1,1,-1,1,20,4,0,20,13,7,0.2,0,0.65,0.35,10,20,144,10,20,144,1,94,0.989473684
jcodec11,jcodec,11,"org.jcodec.codecs.h264.encode.MBEncoderP16x16.luma(Picture,int[],int,int,BitWriter,int,int[])",-1,18,-1,1,-1,1,18,5,4,18,11,5,0.277777778,0.222222222,0.611111111,0.277777778,5,12,9,5,12,9,0,93,1
jcodec110,jcodec,110,"org.jcodec.codecs.h264.encode.MBEncoderI16x16.writeAC(CAVLC,int,int,BitWriter,int,int,int[][],int,MBType,MBType,int[])",-1,22,-1,1,-1,1,22,2,0,22,9,3,0.090909091,0,0.409090909,0.136363636,2,4,2,2,4,2,0,42,1
